"Wohnviertel"	"Wohnviertel_Name"	"Anzahl Einwohner"	"Veränderung zum Vormonat in %"
1	"Altstadt Grossbasel"	-0.38715	2573
2	"Vorstädte"	0.45991	5024
3	"Am Ring"	-0.09957	11036
4	"Breite"	0.11135	8991
5	"St. Alban"	0.03460	11565
6	"Gundeldingen"	-0.13343	18711
7	"Bruderholz"	-0.04259	9388
8	"Bachletten"	-0.01470	13604
9	"Gotthelf"	-0.02908	6875
10	"Iselin"	-0.15359	16902
11	"St. Johann"	-0.12297	18681
12	"Altstadt Kleinbasel"	-0.16347	2443
13	"Clara"	0.17452	4018
14	"Wettstein"	0.28715	5588
15	"Hirzbrunnen"	-0.51759	9418
16	"Rosental"	1.28913	7150
17	"Matthäus"	-0.32208	15474
18	"Klybeck"	-0.15175	7238
19	"Kleinhüningen"	-0.21322	2808
20	"Riehen"	-0.07000	21414
30	"Bettingen"	-0.66445	1196

