Publikationsjahr	Mietwohnungen	Genossenschaftswohnungen	Selbstbewohnte Eigentümerwohnungen	Sonstige Wohnungen
2013: Klybeck	2883	493	79	19
2013: Kleinhüningen	937	305	41	8
2013: Stadt Basel	67474	9018	11349	495
.			
2014: Klybeck	2893	491	80	10
2014: Kleinhüningen	927	307	39	8
2014: Stadt Basel	67154	9013	11410	469
..			
2015: Klybeck	2852	486	80	10
2015: Kleinhüningen	927	304	40	7
2015: Stadt Basel	66841	8995	11481	494
...			
2016: Klybeck	2829	482	80	6
2016: Kleinhüningen	929	303	39	6
2016: Stadt Basel	66790	9188	11562	505
....			
2017: Klybeck	2875	456	77	6
2017: Kleinhüningen	930	300	36	6
2017: Stadt Basel	66649	9147	11494	513
.....			
2018: Klybeck	2850	473	80	20
2018: Kleinhüningen	894	303	36	31
2018: Stadt Basel	66768	9249	11505	613

