""	"BS"	"Ti"	"Ge"
"1999-1"	26087	26513	26234
"1999-2"	26067	26533	26377
"1999-3"	26454	26638	26461
"1999-4"	26466	26724	26847
"2000-1"	26608	27233	27075
"2000-2"	27230	27912	27403
"2000-3"	27477	28505	28016
"2000-4"	27728	28995	28670
"2001-1"	28059	29958	29355
"2001-2"	28515	30630	30209
"2001-3"	28933	31193	30476
"2001-4"	28969	31106	31217
"2002-1"	29136	31423	31719
"2002-2"	29241	32126	31952
"2002-3"	29350	32590	32225
"2002-4"	29315	32773	33442
"2003-1"	29276	33271	34895
"2003-2"	29619	33527	35770
"2003-3"	29728	33834	36675
"2003-4"	29601	33790	37363
"2004-1"	29946	34140	37890
"2004-2"	30772	35162	39673
"2004-3"	29660	34969	40661
"2004-4"	29445	35302	41571
"2005-1"	29266	35766	42692
"2005-2"	28822	35789	43423
"2005-3"	28016	35435	43970
"2005-4"	28380	35771	45096
"2006-1"	28615	36168	46642
"2006-2"	28908	37457	47245
"2006-3"	29577	38463	48740
"2006-4"	30046	39040	49700
"2007-1"	30239	39828	50541
"2007-2"	30351	40979	52169
"2007-3"	30500	41879	52105
"2007-4"	30012	42156	53075
"2008-1"	29947	43511	53862
"2008-2"	30554	44806	54658
"2008-3"	29973	44941	54808
"2008-4"	29147	45143	55825
"2009-1"	29366	45296	56322
"2009-2"	29850	46147	56600
"2009-3"	29933	46230	55955
"2009-4"	30144	46327	56829
"2010-1"	30866	46856	57377
"2010-2"	31556	48057	58428
"2010-3"	31607	48343	59369
"2010-4"	31090	49506	60289
"2011-1"	30953	50108	61865
"2011-2"	31352	51463	62823
"2011-3"	31869	52454	64097
"2011-4"	31928	52825	64769
"2012-1"	31997	53724	66382
"2012-2"	32575	54660	66383
"2012-3"	32951	56497	66960
"2012-4"	32800	56473	69296
"2013-1"	32863	56225	70126
"2013-2"	33403	59128	71863
"2013-3"	33774	60306	72376
"2013-4"	33603	60082	72649
"2014-1"	33678	60203	73265
"2014-2"	34252	62862	73656
"2014-3"	34682	63463	73595
"2014-4"	34535	62752	74433
"2015-1"	34615	62091	74588
"2015-2"	35071	62769	76697
"2015-3"	35278	62374	76792
"2015-4"	34948	61902	77874
"2016-1"	35475	62308	79859
"2016-2"	35637	62071	80583
"2016-3"	35885	62148	81819
"2016-4"	35925	64223	83207
"2017-1"	35907	64555	81797
"2017-2"	35864	65377	83903
"2017-3"	35930	65185	83628
"2017-4"	35922	64885	84214
"2018-1"	35104	63958	84136

