Wohnviertel_ID	Wohnviertel_Name	Ausländeranteil in %	Staatsangehörigkeit in %	Deutschland	Italien	3Türkei	Serbien, Montenegro, Kosovo	Spanien	Übrige
1	Altstadt Grossbasel	0.270620581	0.1	0.281567489	0.09724238	0.031930334	0.005805515	0.059506531	0.52394775
2	Vorstädte	0.382317802	0.1	0.234895833	0.1140625	0.025	0.017708333	0.05625	0.552083333
3	Am Ring	0.348798211	0.1	0.25667735	0.121527778	0.034188034	0.02857906	0.05582265	0.503205128
4	Breite	0.323970457	0.1	0.208290155	0.127115717	0.09119171	0.064939551	0.056649396	0.451813472
5	St. Alban	0.316354626	0.1	0.226283725	0.101827676	0.058021468	0.025529446	0.058311575	0.53002611
6	Gundeldingen	0.390604311	0.1	0.204474576	0.12759322	0.141152542	0.090169492	0.047322034	0.389288136
7	Bruderholz	0.241529105	0.1	0.331384892	0.108363309	0.033273381	0.01573741	0.035971223	0.475269784
8	Bachletten	0.217783029	0.1	0.322143099	0.129196338	0.036283486	0.026110546	0.042726348	0.443540183
9	Gotthelf	0.277607138	0.1	0.308219178	0.114330875	0.04004215	0.042149631	0.052160169	0.443097998
10	Iselin	0.375134876	0.1	0.177692554	0.143016938	0.120166187	0.06935123	0.065356344	0.424416747
11	St. Johann	0.434001493	0.1	0.177496622	0.113376735	0.11251689	0.066330918	0.068050608	0.462228227
12	Altstadt Kleinbasel	0.376602564	0.1	0.219148936	0.107446809	0.039361702	0.045744681	0.056382979	0.531914894
13	Clara	0.463335819	0.1	0.156652361	0.122317597	0.06223176	0.100858369	0.05472103	0.503218884
14	Wettstein	0.317988669	0.1	0.309576837	0.118040089	0.04844098	0.022828508	0.057349666	0.44376392
15	Hirzbrunnen	0.239978332	0.1	0.27268623	0.144469526	0.121444695	0.053273138	0.055530474	0.352595937
16	Rosental	0.557387057	0.1	0.160186199	0.089266156	0.099123768	0.073384447	0.046823658	0.531215772
17	Matthäus	0.506214689	0.1	0.171378968	0.109623016	0.098462302	0.094122024	0.049107143	0.477306548
18	Klybeck	0.516662038	0.1	0.110185434	0.151840903	0.155334587	0.098091911	0.058317657	0.426229508
19	Kleinhüningen	0.469063256	0.1	0.141488578	0.144436256	0.131908622	0.0899042	0.026529108	0.465733235
20	Riehen	0.255416409	0.1	0.43344519	0.098806861	0.048657718	0.032065623	0.030947054	0.356077554
30	Bettingen	0.24789916	0.1	0.637288136	0.054237288	0.003389831	0.010169492	0.037288136	0.257627119

