Wohnviertelid	Wohnviertel_Name	1995	Differenz 1995 zu 2015		2015
1	Altstadt GB	222619	11454	234073
2	Vorstädte	405581	13440	419021
3	Am Ring	687802	29810	717612
4	Breite	479915	17230	497145
5	St. Alban	741350	103327	844677
6	Gundeldingen	963804	70752	1034556
7	Bruderholz	637255	25065	662320
8	Bachletten	885607	20430	906037
9	Gotthelf	417901	13462	431363
10	Iselin	869484	23587	893071
11	St. Johann	929184	98336	1027520
12	Altstadt KB	165814	2791	168605
13	Clara	218884	9541	228425
14	Wettstein	333883	40351	374234
15	Hirzbrunnen	451596	17540	469136
16	Rosental	220407	107543	327950
17	Matthäus	780131	38339	818470
18	Klybeck	326070	3465	329535
19	Kleinhüningen	103490	34525	138015
20	Riehen	1254613	122343	1376956
30	Bettingen	83358	15318	98676
