	 Deutschland	 Italien	 Frankreich	 USA	 UK	übriges Ausland
Altstadt GB	0.6	-1.2	0.8	3.8	-0.5	3.8
Vorstädte	-2.2	0.7	0.9	0.7	0.5	0.7
Am Ring	-1.7	0.5	-0.2	0.8	-0.2	0.8
Breite	0.0	0.9	0.0	-0.9	-0.1	-0.9
St. Alban	-1.7	-0.3	0.3	2.6	0.4	2.6
Gundeld.	1.4	-0.3	0.1	-1.0	-0.1	-1.0
Bruderholz	-1.0	-0.3	0.8	1.8	-0.6	1.8
Bachletten	1.6	-0.2	0.9	0.2	0.2	0.2
Gotthelf	2.6	-0.9	0.6	-1.6	-0.1	-1.6
Iselin	-0.2	0.8	-0.1	-0.4	-0.7	-0.4
St. Johann	-0.5	0.1	0.4	-0.2	0.7	-0.2
Altstadt KB	0.0	0.2	-0.2	-1.2	-0.8	-1.2
Clara	1.4	-1.1	-0.1	-1.4	0.0	-1.4
Wettstein	1.1	-0.7	0.5	1.6	1.3	1.6
Hirzbr.	3.9	-0.1	-0.2	-1.0	-0.3	-1.0
Rosental	-1.1	-0.2	-1.0	0.9	0.5	0.9
Matthäus	-0.4	0.0	-0.9	-1.0	-0.6	-1.0
Klybeck	-0.7	1.8	0.4	-1.3	-0.9	-1.3
Kleinh.	-0.3	0.6	0.1	-1.6	2.0	-1.6
Riehen	2.4	-1.2	0.0	0.2	0.0	0.2
Bettingen	13.4	-2.2	-1.9	-1.9	-1.5	-1.9
Kanton BS	0.0	0.0	0.0	0.0	0.0	0.0
